"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"__amd_rocclr_copyBuffer.kd",4955,52139258,10522,2.0256772417243014
"triton_red_fused__log_softmax__log_softmax_backward_data__to_copy_add_nll_loss_backward_nll_loss_forward_view_0.kd",13,51844698,3988053,2.0142332068221873
"triton_per_fused__to_copy_add_mul_native_dropout_backward_native_layer_norm_backward_view_20.kd",273,51537647,188782,2.002303880502494
"Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x96x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB2_GSUAMB_GLS0_ISA1151_IU1_K1_LBSPPA2048_LBSPPB3072_LBSPPM0_LPA16_LPB16_LPM0_LRVW16_LWPMn1_MIAV1_MIWT2_3_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB3_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKXCCM0_TLDS0_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",143,51056102,357035,1.98359523782549
"triton_per_fused__to_copy__unsafe_view_add_native_dropout_native_layer_norm_native_layer_norm_backward_11.kd",351,48492364,138154,1.8839907187058704
"bwd_kernel_dq.kd",364,46080767,126595,1.7902970731401702
"triton_red_fused__to_copy_add_native_layer_norm_backward_view_7.kd",676,42850723,63388,1.6648057088294597
"triton_poi_fused__unsafe_view_mul_silu_9.kd",364,41275286,113393,1.6035979548435781
"triton_red_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_slice_backward_sum_view_31.kd",54,35718562,661454,1.3877120796486677
"triton_red_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_slice_backward_sum_view_29.kd",53,34561534,652104,1.342760053525899
"triton_red_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_select_slice_backward_sum_view_27.kd",52,34177296,657255,1.3278319129680556
"triton_per_fused__to_copy_add_mul_native_dropout_native_dropout_backward_native_layer_norm_backward_sum_view_22.kd",104,32687983,314307,1.2699701871662779
"triton_red_fused__log_softmax__to_copy__unsafe_view_prepare_softmax_online_view_44.kd",13,32121830,2470910,1.2479744148552498
"triton_red_fused__to_copy_add_mul_native_dropout_backward_native_layer_norm_backward_slice_backward_view_16.kd",225,32076070,142560,1.2461965799926729
"triton_poi_fused_add_copy__div_lerp_mul_neg_pow_rsub_sqrt_0.kd",1612,26024868,16144,1.0110995984346196
"triton_per_fused__to_copy_add_mul_native_dropout_backward_native_layer_norm_backward_view_24.kd",156,23857048,152929,0.9268770028972076
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) [clone .kd]",283,19072516,67394,0.7409917801979959
"triton_red_fused__to_copy_add_copy__div_lerp_linalg_vector_norm_mul_rsub_0.kd",26,18610724,715797,0.7230505669799185
